delivery_id,delivery_order_id,driver_id,delivery_distance_meters,delivery_status
2174658,68413340,8378,5199,DELIVERED
2174660,68414309,2473,410,DELIVERED
2174661,68416230,7615,3784,DELIVERED
2174663,68412721,8378,5714,DELIVERED
2174675,68414018,10463,3746,DELIVERED
2174680,68415103,16430,3924,DELIVERED
2174693,68416643,14513,2489,DELIVERED
2174695,68417783,,2564,CANCELLED
2174696,68415457,9996,340,DELIVERED
2174697,68414563,23092,1081,DELIVERED
2174699,68415140,9996,2880,DELIVERED
2174705,68416059,9996,1450,DELIVERED
2174707,68417307,25575,1699,DELIVERED
2174708,68416059,9996,1450,DELIVERED
2174712,68415947,9392,5951,DELIVERED
2174713,68416226,15156,2353,DELIVERED
2174715,68417646,29669,1014,DELIVERED
2174720,68416227,10514,5796,DELIVERED
2174724,68416397,7396,4425,DELIVERED
2174729,68418089,14702,2007,DELIVERED
2174733,68415344,26154,5385,DELIVERED
2174734,68415474,26154,3854,DELIVERED
2174735,68414512,26154,5514,DELIVERED
2174737,68418430,15561,3768,DELIVERED
2174739,68419302,15898,2927,DELIVERED
2174743,68419091,14059,709,DELIVERED
2174744,68418711,12893,3484,DELIVERED
2174749,68419094,21923,727,DELIVERED
2174751,68421547,4190,1793,DELIVERED
2174754,68419146,24830,1796,DELIVERED
2174755,68419684,24830,1418,DELIVERED
2174756,68420053,9828,4417,DELIVERED
2174757,68420869,9043,4284,DELIVERED
2174759,68421551,23093,1249,DELIVERED
2174764,68422045,24584,700,DELIVERED
2174765,68419140,358,1853,DELIVERED
2174767,68420592,12077,2258,DELIVERED
2174769,68420589,30854,2787,DELIVERED
2174771,68417544,8456,2472,DELIVERED
2174775,68420308,6165,842,DELIVERED
2174790,68422281,25651,3667,DELIVERED
2174791,68424656,12023,2068,DELIVERED
2174792,68422076,2355,1828,DELIVERED
2174797,68422614,26075,1787,DELIVERED
2174799,68419848,5628,3429,DELIVERED
2174801,68421987,12136,1683,DELIVERED
2174803,68417778,17907,3112,DELIVERED
2174804,68423847,5250,1976,DELIVERED
2174805,68422671,9211,940,DELIVERED
2174806,68417799,9025,3651,DELIVERED
2174808,68422092,15661,3642,DELIVERED
2174810,68423162,14382,2381,DELIVERED
2174813,68417497,10514,4704,DELIVERED
2174824,68419305,726,995,DELIVERED
2174825,68419373,30574,1322,DELIVERED
2174829,68424659,29966,4382,DELIVERED
2174830,68425021,5052,3046,DELIVERED
2174831,68424433,30574,1171,DELIVERED
2174834,68419797,430,1389,DELIVERED
2174838,68423762,4937,1992,DELIVERED
2174839,68423643,938,1154,DELIVERED
2174840,68418092,22901,4665,DELIVERED
2174843,68424216,25651,1452,DELIVERED
2174845,68424547,,2100,CANCELLED
2174847,68426376,731,1811,DELIVERED
2174849,68425058,25651,1488,DELIVERED
2174850,68427952,28171,816,DELIVERED
2174851,68425821,25651,3498,DELIVERED
2174852,68423588,8940,1754,DELIVERED
2174859,68428840,27294,3579,DELIVERED
